"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6220","Счётчик «Выполнено за сегодня» увеличивается","tests","2026-05-18","passed","2026-05-18","TestOrderFeed","test_order_feed","",""
"","280","При добавлении ингредиента счётчик увеличивается","tests","2026-05-18","passed","2026-05-18","TestMainFunctionality","test_main_functionality","",""
"","142","При клике на ингредиент появляется всплывающее окно","tests","2026-05-18","passed","2026-05-18","TestMainFunctionality","test_main_functionality","",""
"","3878","Номер заказа появляется в ленте после оформления","tests","2026-05-18","passed","2026-05-18","TestOrderFeed","test_order_feed","",""
"","207","Переход по клику на «Конструктор»","tests","2026-05-18","passed","2026-05-18","TestMainFunctionality","test_main_functionality","",""
"","120","Переход по клику на «Лента заказов»","tests","2026-05-18","passed","2026-05-18","TestMainFunctionality","test_main_functionality","",""
"","6169","Счётчик «Выполнено за всё время» увеличивается","tests","2026-05-18","passed","2026-05-18","TestOrderFeed","test_order_feed","",""
"","10604","Модальное окно закрывается кликом по крестику","tests","2026-05-18","passed","2026-05-18","TestMainFunctionality","test_main_functionality","",""
